,Titre,Auteur,Summary
50,La fille du train ,Paula Hawkins,"Vous ne voyagerez plus jamais comme avant... Depuis la banlieue où elle habite, Rachel prend le train deux fois par jour pour aller et revenir de Londres. Chaque jour elle est assise à la même place et chaque jour elle observe une jolie maison. Cette maison, elle la connaît par cœur, elle a même donné un nom à ses occupants qu'elle aperçoit derrière la vitre : Jason et Jess. Un couple qu'elle imagine parfait, heureux, comme Rachel a pu l'être par le passé avec son mari, avant qu'il ne la trompe, avant qu'il ne la quitte. Mais un matin, elle découvre un autre homme que Jason à la fenêtre. Que se passe-t-il ? Jess tromperait-elle son mari ? Quelques jours plus tard, c'est avec stupeur qu'elle découvre la photo de Jess à la une des journaux. La jeune femme, de son vrai nom Megan Hipwell, a mystérieusement disparu... Ce thriller exceptionnel connaît un succès incroyable depuis sa sortie. 1er des ventes aux Etats-Unis, en Angleterre et au Canada, traduit en plus de 26 langues, il est en cours d'adaptation cinématographique. Il vous suffit d'ouvrir ce livre et de vous laisser entraîner dans le piège paranoiaque et jubilatoire qu'il vous tend pour comprendre à quel point cette publication fait figure d'évènement."
51,Romain Gary s'en va-t-en guerre ,Laurent Seksik,"Avant d’inventer Émile Ajar, Romain Gary s’est inventé un père. Bâtissant sa légende, l’écrivain a laissé entendre que ce père imaginaire était Ivan Mosjoukine, l’acteur russe le plus célèbre de son temps. La réalité n’a rien de ce conte de fées. Drame familial balayé par l’Histoire et fable onirique, Romain Gary s’en va-t-en guerre restitue l’enfance de Gary et la figure du père absent. Avec une émotion poignante, le roman retrace vingt-quatre heures de la vie du jeune Romain, une journée où bascule son existence. Après Les derniers jours de Stefan Zweig et Le cas Eduard Einstein, Laurent Seksik poursuit magistralement cette quête de vérité des personnages pour éclairer le mystère d’un écrivain, zones d’ombre et genèse d’un créateur, dans une histoire de génie, de ténèbres et d’amour."
52,Un coeur sombre ,Roger Jon Ellory,"Combien de temps peut-on échapper à sa conscience ? Le nouveau thriller magistral de R.J. Ellory. Sous sa façade respectable, Vincent Madigan, mauvais mari et mauvais père, est un homme que ses démons ont entraîné dans une spirale infernale. Aujourd'hui, il a touché le fond, et la grosse somme d'argent qu'il doit à Sandià, le roi de la pègre d'East Harlem, risque de compromettre toute son existence, voire de lui coûter la vie. Il n'a plus le choix, il doit cette fois franchir la ligne jaune pour pouvoir prendre un nouveau départ. Il décide donc de braquer 400 000 dollars dans une des planques de Sandià. Mais les choses tournent mal : il doit se débarrasser de ses complices, et une petite fille est blessée lors d'échanges de tirs. Rongé par l'angoisse et la culpabilité, Madigan va s'engager sur la dernière voie qu'il lui reste : celle d'une impossible rédemption. Jamais l'expression d' anti-héros n'aura été aussi pertinente. Avec ce portrait passionnant et sans concession, R. J. Ellory creuse au plus profond de la conscience d'un homme au cœur sombre, pour tenter d'en faire resurgir toute l'humanité enfouie. Le bien et le mal, l'innocence et la culpabilité sont en effet si intimement mêlés en Vincent Madigan qu'il lui est devenu presque impossible de les distinguer. D'une écriture si puissante qu'on la ressent physiquement, ce long blues, aussi déchirant qu'une chanson de Tom Waits, aussi maîtrisé qu'un film de James Grey, réserve à son lecteur de tels rebondissements qu'il serait criminel d'en dévoiler plus ici."
53,Mariachi Plaza ,Michael Connelly,"À l’unité des Affaires non résolues du LAPD, les victimes meurent rarement une décennie après le crime. C’est pourtant ce qui arrive au mariachi Orlando Merced : le musicien succombe à ses blessures dix ans après avoir reçu une balle lors d’une fusillade apparemment sans autre but que celui de faire respecter la loi des gangs et de terroriser la population. L’inspecteur Harry Bosch hérite donc d’une affaire avec un cadavre certes encore frais, mais aux pistes quasi inexistantes. Rien de mieux pour un vieux de la vieille comme lui qui doit enseigner le métier à sa nouvelle coéquipière Lucia Soto. Étoile montante du service après s’être comportée de façon héroïque au cours d’une fusillade, elle n’a néanmoins aucune expérience véritable du travail d’enquête et c’est à Bosch qu’on demande de la former avant de prendre sa retraite. Décision de la hiérarchie. Mais l’affaire se révèle politiquement très « sensible » : la balle qui a mis tant de temps à tuer le joueur de vihuela n’aurait pas été tirée au hasard. Sans même parler du fait que ce crime en cache un autre aux enjeux encore plus importants : la mort de plusieurs enfants lors d’un incendie qui, lui, s’est déclenché vingt ans plus tôt. Tout risquer pour trouver la solution ou, plus sûrement, laisser dormir des secrets bien compromettants, tel est le choix qui s’offre à ces deux inspecteurs aux destins bouleversants."
54,Le vieux saltimbanque ,Jim Harrison, 
55,Mémoire de fille ,Annie Ernaux,"""J’ai voulu l’oublier cette fille. L’oublier vraiment, c’est-à-dire ne plus avoir envie d’écrire sur elle. Ne plus penser que je dois écrire sur elle, son désir, sa folie, son idiotie et son orgueil, sa faim et son sang tari. Je n’y suis jamais parvenue."" Dans Mémoire de fille, Annie Ernaux replonge dans l’été 1958, celui de sa première nuit avec un homme, à la colonie de S. dans l’Orne. Nuit dont l’onde de choc s’est propagée violemment dans son corps et sur son existence durant deux années.S’appuyant sur des images indélébiles de sa mémoire, des photos et des lettres écrites à ses amies, elle interroge cette fille qu’elle a été dans un va-et-vient implacable entre hier et aujourd'hui."
56,Continuer ,Laurent Mauvignier,"Sibylle, à qui la jeunesse promettait un avenir brillant, a vu sa vie se défaire sous ses yeux. Comment en est-elle arrivée là ? Comment a-t-elle pu laisser passer sa vie sans elle ? Si elle pense avoir tout raté jusqu’à aujourd’hui, elle est décidée à empêcher son fils, Samuel, de sombrer sans rien tenter. Elle a ce projet fou de partir plusieurs mois avec lui à cheval dans les montagnes du Kirghizistan, afin de sauver ce fils qu’elle perd chaque jour davantage, et pour retrouver, peut-être, le fil de sa propre histoire. « Avec Continuer, Laurent Mauvignier nous propulse dans les montagnes kirghizes, et s’arrête, s’installe. L’immobilité pour mieux dire le mouvement des choses, la vitesse pour en saisir la paralysie. Tel a toujours été le secret de son écriture, qui dessine ici le parcours accidenté du voyage initiatique d’une Bordelaise avec son fils adolescent, au fin fond de l’Asie centrale. Sibylle a vendu sa maison en France pour payer cette cavale de secours à Samuel, garçon en perdition, déscolarisé, déphasé, désaxé, dont la peur de l’avenir s’est transmuée en peur du présent. Hymne incomparable à l’amour d’une mère pour son fils, Continuer est aussi un grand livre d’aventures, sauvage et abrupt. Au plus près de la nature, Mauvignier signe un somptueux western où les chevaux sont rois. Doubles des héros, à la fois témoins, soutiens et médiums, ils soufflent et crapahutent, sondent et protègent. Ils habitent les plus belles pages du livre, avec un passage d’anthologie où l'action est décrite par son reflet dans l’œil d’un cheval. Effet miroir vertigineux, où Mauvignier parvient à dire l’unité de l’homme, de l’animal et du cosmos, malgré la pluralité des phénomènes et des cataclysmes, dont toute son œuvre littéraire recolle les morceaux. » (Marine Landrot, Télérama) Continuer est paru en 2016."
57,Le tour du monde du roi Zibeline ,Jean-Christophe Rufin,"'– Mes amis, s'écria Benjamin Franklin, permettez-moi de dire que, pour le moment, votre affaire est strictement incompréhensible. – Nous ne demandons qu'à vous l'expliquer, dit Auguste. Et d'ailleurs nous avons traversé l'Atlantique pour cela. – Eh bien, allez-y. – C'est que c'est une longue histoire. – Une très longue histoire, renchérit Aphanasie, sa jeune épouse que Franklin ne quittait plus des yeux. – Elle traverse de nombreux pays, elle met en scène des drames et des passions violentes, elle se déroule chez des peuples lointains dont les cultures et les langues sont différentes de tout ce que l 'on connaît en Europe... – Qu'à cela ne tienne! Au contraire, vous mettez mon intérêt à son comble...' Comment un jeune noble né en Europe centrale, contemporain de Voltaire et de Casanova, va se retrouver en Sibérie puis en Chine, pour devenir finalement roi de Madagascar... Sous la plume de Jean-Christophe Rufin, cette histoire authentique prend l'ampleur et le charme d'un conte oriental, comme le XVIIIe siècle les aimait tant."
58,Vie de ma voisine ,Geneviève Brisac,"Ça commence comme une nouvelle d’Alice Munro : lors de son déménagement, une romancière est abordée par sa voisine du dessus qui l’a reconnue, et l’invite chez elle pour parler de Charlotte Delbo. Ça continue comme un récit d’Isaac Babel. Car les parents de Jenny, la voisine née en 1925, étaient des Juifs polonais membres du Bund, immigrés en France un an avant sa naissance. Mais c’est un livre de Geneviève Brisac, un « roman vrai » en forme de traversée du siècle : la vie à Paris dans les années 1930, la Révolution trahie à Moscou, l’Occupation – Jenny et son frère livrés à eux-mêmes après la rafle du Vel' d’Hiv, la déportation des parents, la peur, la faim, les humiliations, et l’histoire d’une merveilleuse amitié. Le roman d’apprentissage d’une jeune institutrice douée d’une indomptable vitalité, que ni les deuils ni les tragédies ne parviendront à affaiblir. Ça se termine à Moscou en 1992, dans la salle du tribunal où Staline fit condamner à mort les chefs de la révolution d’Octobre, par la rencontre improbable mais réelle entre des « zeks » rescapés du Goulag et une délégation de survivants des camps nazis. À l’écoute de Jenny, Geneviève Brisac rend justice aux héros de notre temps, à celles et ceux qui, dans l’ombre, ont su garder vivant le goût de la fraternité et de l’utopie."
59,Désorientale ,Négar Djavadi,"Si nous étions en Iran, cette salle d’attente d’hôpital ressemblerait à un caravansérail, songe Kimiâ. Un joyeux foutoir où s’enchaîneraient bavardages, confidences et anecdotes en cascade. Née à Téhéran, exilée à Paris depuis ses dix ans, Kimiâ a toujours essayé de tenir à distance son pays, sa culture, sa famille. Mais les djinns échappés du passé la rattrapent pour faire défiler l’étourdissant diaporama de l’histoire des Sadr sur trois générations : les tribulations des ancêtres, une décennie de révolution politique, les chemins de traverse de l’adolescence, l’ivresse du rock, le sourire voyou d’une bassiste blonde... Une fresque flamboyante sur la mémoire et l’identité ; un grand roman sur l’Iran d’hier et la France d’aujourd’hui."
60,Les coins obscurs ,Ruth Rendell,"« Par son imagination unique, Ruth Rendell éclaire la psyché humaine. » P.D. James « J’ai beaucoup d’admiration pour Ruth Rendell et sa capacité à nous faire réfléchir et frissonner ! » Ian Rankin « Les Coins obscurs est un des meilleurs romans de Ruth Rendell. Vous n’allez pas le lâcher ! » Stephen King Au décès de son père, Carl Martin hérite d’une maison dans un quartier cossu de Londres. Jeune écrivain, Carl a besoin d’argent et décide de louer le dernier étage au premier candidat venu. Première erreur. Carl Martin a également conservé une étrange collection de vieux « remèdes » de son père, dont un lot douteux de gélules amaigrissantes. Quand il vend ces gélules à sa meilleure amie et qu'on la retrouve morte quelques jours plus tard, Carl commet sa deuxième erreur. Et ce ne sera malheureusement pas la dernière. Un suspense psychologique sur la lente descente aux enfers d'un homme comme les autres. Du moins, en apparence... Traduit de l’anglais par Johan-Frederik Hel Guedj"
